0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	Moti	27.00
Střih	Číslo výrobku	EAN	Název	Typ výrobku	Provedení	S	MJ	Počet	Orintace	RAL	Barva základní části	Vzor	RAL	Barva dna, kapsy	Vzor	Typ	Materiál	Délka (m)	Šířka (mm)	Barva			Uchycení			NC-P	PC-P
001	001-05-01/0046		KLÁRA	Kabelka	0046	A	ks	5	Vodorovně	8028	Zemní hnědá		8028	Zemní hnědá		Popruh	Bavlna	1,3	25	9005	Černá		Karabiny	Pruhy 3 - hnědá, tajga, hnědá, sierra, hnědá - různě široké pruhy	NIkl		
001	001-05-01/0047		KLÁRA	Kabelka	0047	A	ks	3	Vodorovně	6008	Hnědozelená		8023	Hnědooranžová		Popruh	Bavlna	1,3	25	9005	Černá		Karabiny	Pruhy 3 - tajga, bronze, sahara od spodu 	NIkl		
001	001-05-01/0048	8595700112938	KLÁRA	Kabelka	0048	A	ks	3	Vodorovně	8028	Zemní hnědá		8020	Slonová kost		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy 3 - zemní hnědá, slonová kost, černá	NIkl		
001	001-05-01/0049	8595700112945	KLÁRA	Kabelka	0049	A	ks	3	Vodorovně	8024	Hnědobéžová		8020	Slonová kost		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy 3 - SIERRA, slonová kost, černá	NIkl		
001	001-05-01/0050	8595700112952	KLÁRA	Kabelka	0050	A	ks	3	Vodorovně	2000	Žlutooranžová		8020	Slonová kost		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy 3 - hořčicová slonová kost, černá	NIkl		
001	001-05-01/0051	8595700112969	KLÁRA	Kabelka	0051	A	ks	3	Vodorovně	3011	Červenohnědá		8020	Slonová kost		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy 3 - vínová, slonová kost, černá	NIkl		
001	001-05-01/0052	8595700112976	KLÁRA	Kabelka	0052	A	ks	3	Vodorovně	6032	Signální zelená		8020	Slonová kost		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy 3 - mechová zelená, slonová kost, černá	NIkl		
001	001-05-01/0053	8595700112983	KLÁRA	Kabelka	0053	A	ks	3	Vodorovně	6025	Zelená		8020	Slonová kost		Popruh	Bavlna	1,3	30	9005	Černá		Karabiny	Pruhy 3 - trávníková zelená, slonová kost, černá	NIkl		
002	002-05-01/0001	8595700100331	JANA	Kabelka	0001	A	ks	1	 -	9005	Černá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	30 / 25	9001	Krémová		Karabiny / šité - čtverečky	Dvojitý prošev na střed - světlé nitě	Nikl	795.51	1404.96
002	002-05-01/0002	8595700100348	JANA	Kabelka	0002	A	ks	1	 -	8023	Hnědooranžová		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9005	Černá		Karabiny / šité - čtverečky	Jednoduchý prošev na střed	Nikl	795.51	1404.96
002	002-05-01/0003	8595700100355	JANA	Kabelka	0003	A	ks	1	 -	6008	Hnědozelená		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9001	Krémová		Karabiny / šité - čtverečky	Jednoduchý prošev na střed	Nikl	795.51	1404.96
002	002-05-01/0004	8595700100362	JANA	Kabelka	0004	A	ks	1	 -	8001	Okrová hnědá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9001	Krémová		Karabiny / šité - čtverečky	Přední kapsa	Nikl	819.42	1462.81
002	002-05-01/0005	8595700100379	JANA	Kabelka	0005	A	ks	1	 -	9010	Čistě bílá		 	 -	 -	Ucha	Kůže	0,7	12	3028	Červená		Sedlářský nýt - šroubovací	Hanunka - tištěná, středový šev	Nikl	1064.40	1710.74
002	002-05-01/0006	8595700100386	JANA	Kabelka	0006	A	ks	1	 -	9010	Čistě bílá		 	 -	 -	Ucha	Kůže	0,7	12	9005	Černá		Sedlářský nýt - šroubovací	Hanunka - tištěná, středový šev	Nikl	1064.40	1710.74
002	002-05-01/0007	8595700100393	JANA	Kabelka	0007	A	ks	1	 -	8001	Okrová hnědá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9005	Černá		Karabiny / šité - čtverečky	Jednoduchý prošev na střed	Nikl	795.51	1404.96
002	002-05-01/0008	8595700100409	JANA	Kabelka	0008	A	ks	1	 -	8028	Zemní hnědá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9005	Černá		Karabiny / šité - čtverečky	Dvojitý prošev na střed	Nikl	795.51	1404.96
002	002-05-01/0009	8595700100416	JANA	Kabelka	0009	A	ks	1	 -	8028	Zemní hnědá		 	 -	 -	Popruh / Uši	Lano	1,3 / 0,8	25-pro	9001	Krémová		Karabiny / průchodky	Uzly ven	Nikl	856.80	1547.93
002	002-05-01/0010	8595700100423	JANA	Kabelka	0010	A	ks	1	 -	8001	Okrová hnědá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9001	Krémová		Karabiny / šité - čtverečky	Pruh na přední straně - modrý	Nikl	795.51	1404.96
002	002-05-01/0011	8595700100430	JANA	Kabelka	0011	A	ks	1	 -	8001	Okrová hnědá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9001	Krémová		Karabiny / šité - čtverečky	Pruh na přední straně - bordo	Nikl	795.51	1404.96
002	002-05-01/0012	8595700100447	JANA	Kabelka	0012	A	ks	1	 -	8028	Zemní hnědá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9001	Krémová		Karabiny / šité - čtverečky	Jednoduchý prošev na střed	Nikl	795.51	1404.96
002	002-05-01/0013	8595700100454	JANA	Kabelka	0013	A	ks	1	 -	8028	Zemní hnědá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9001	Krémová		Karabiny / šité - čtverečky	Kapsa 5ti hran v boku nakoso	Nikl	819.42	1462.81
002	002-05-01/0014	8595700100461	JANA	Kabelka	0014	A	ks	1	 -	6008	Hnědozelená		 	 -	 -	Splétaný popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9001	Krémová		Karabiny / šité - čtverečky	Jednoduchý prošev na střed	Nikl	795.51	1404.96
002	002-05-01/0015	8595700100478	JANA	Kabelka	0015	A	ks	1	 -	8028	Zemní hnědá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9001	Krémová		Karabiny / šité - čtverečky	Kapsa ma PD velká, smetanový popruh	Nikl	819.42	1462.81
002	002-05-01/0016	8595700100485	JANA	Kabelka	0016	A	ks	1	 -	9005	Černá		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9005	Černá		Karabiny / šité - čtverečky	Bez aplikace	Nikl	795.51	1404.96
002	002-05-01/0017	8595700100492	JANA	Kabelka	0017	A	ks	1	 -	7035	Světle šedá		 	 -	 -	Ucha	Lano	0,7	12	3028	Červená		Průchodka	Hanunka - tištěná, středový šev	Nikl	856.80	1547.93
002	002-05-01/0018	8595700100508	JANA	Kabelka	0018	A	ks	1	 -	8023	Hnědooranžová		 	 -	 -	Popruh / Uši	Bavlna	1,3 / 0,8	25 / 25	9001	Krémová		Karabiny / šité - čtverečky	Přední kapsa	Nikl	819.42	1462.81
002	002-05-01/0019	8595700100515	JANA	Kabelka	0019	A	ks	1	 -	7035	Světle šedá		 	 -	 -	Ucha	Lano	0,7	12	9001	Krémová		Průchodka	Jednoduchý prošev na střed, průchodky 	Nikl	856.80	1547.93
